序号,学校名称,学校标识码,主管部门,备注
1,北京市海淀区职工大学,4211050001,北京市,
2,北京市东城区职工业余大学,4211050002,北京市,
3,北京市崇文区职工大学,4211050004,北京市,
4,北京宣武红旗业余大学,4211050005,北京市,
5,北京市石景山区业余大学,4211050006,北京市,
6,北京市朝阳区职工大学,4211050007,北京市,
7,北京医药集团职工大学,4211050018,北京市,
8,北京市总工会职工大学,4211050025,北京市,
9,中央党校继续教育学院,4211050038,中共中央党校,
10,中国记协职工新闻学院,4211050043,中华全国新闻工作者协会,
11,中南海业余大学,4211050044,中共中央办公厅,
12,北京教育学院,4211050061,北京市,
13,北京开放大学,4211051160,北京市,
14,国家开放大学（中央广播电视大学）,4211051161,教育部,
15,民航管理干部学院,4211051167,交通运输部,
16,北京市丰台区职工大学,4211051624,北京市,
17,北京市西城经济科学大学,4211051626,北京市,
18,北京市农工商联合总公司职工大学,4211051630,北京市,
19,公安部管理干部学院,4211051643,公安部,
20,国家法官学院,4211051651,最高人民法院,
21,华北电业联合职工大学,4211051800,北京市,
22,首都联合职工大学,4211051837,北京市,
23,国家检察官学院,4211051898,最高人民检察院,
24,天津市和平区新华职工大学,4212050063,天津市,
25,天津市河西区职工大学,4212050064,天津市,
26,天津市河东区职工大学,4212050065,天津市,
27,天津市红桥区职工大学,4212050066,天津市,
28,天津市南开区职工大学,4212050068,天津市,
29,天津市建筑工程职工大学,4212050070,天津市,
30,天津市职工经济技术大学,4212050073,天津市,
31,天津市渤海化工职工学院,4212050095,天津市,
32,天津市管理干部学院,4212050121,天津市,
33,天津市广播电视大学,4212051171,天津市,
34,天津物资管理干部学院,4212051172,天津市,
35,天津市政法管理干部学院,4212051175,天津市,
36,天津市工会管理干部学院,4212051176,天津市,
37,天津市房地产局职工大学,4212051659,天津市,
38,河北地质职工大学,4213050139,河北省,
39,河北省广播电视大学,4213051177,河北省,
40,石家庄职工大学,4213051180,河北省,
41,海关管理干部学院,4231051332,海关总署,
42,河北管理干部学院,4213051723,河北省,
43,河北青年管理干部学院,4213051802,河北省,
44,"太原化学工业集团有限公司
职工大学",4214050162,山西省,
45,山西机电职工学院,4214050163,山西省,
46,"太原钢铁(集团)有限公司
职工钢铁学院",4214050164,山西省,
47,山西职工医学院,4214050166,山西省,
48,山西煤炭职工联合大学,4214050167,山西省,
49,山西兵器工业职工大学,4214050169,山西省,
50,山西省职工工艺美术学院,4214050175,山西省,
51,山西省吕梁市教育学院,4214050197,山西省,
52,山西省广播电视大学,4214051187,山西省,
53,山西省政法管理干部学院,4214051787,山西省,
54,长治市教育学院,4214051788,山西省,
55,包头市职工大学,4215050204,内蒙古自治区,
56,内蒙古自治区广播电视大学,4215051192,内蒙古自治区,
57,辽宁兵器工业职工大学,4221051087,辽宁省,
58,辽宁省直属机关职工大学,4221051097,辽宁省,
59,大连工人大学,4221051110,辽宁省,
60,空军第四职工大学,4221051117,空军装备部,
61,海军职工大学,4221051118,海军装备部,
62,大连职工大学,4221051120,辽宁省,
63,抚顺矿务局职工工学院,4221051125,辽宁省,
64,抚顺石油化工公司职工大学,4221051126,辽宁省,
65,阜新矿务局职工大学,4221051138,辽宁省,
66,朝阳职工工学院,4221051143,辽宁省,
67,大连市教育学院,4221051149,辽宁省,
68,辽宁广播电视大学,4221051196,辽宁省,
69,阜新煤炭职工医学专科学校,4221051227,辽宁省,
70,辽宁文化艺术职工大学,4221051694,辽宁省,
71,辽宁冶金职工大学,4221051695,辽宁省,
72,辽宁公安司法管理干部学院,4221051842,辽宁省,
73,沈阳机械工业职工大学,4221051843,辽宁省,
74,鞍山钢铁集团公司职工大学,4221051845,辽宁省,
75,沈阳市广播电视大学,4221051848,辽宁省,
76,大连市广播电视大学,4221051849,辽宁省,
77,长春职工大学,4222050226,吉林省,
78,长春市建筑职工业余大学,4222050229,吉林省,
79,长春职工医科大学,4222050232,吉林省,
80,吉林市职工大学,4222050234,吉林省,
81,吉林化学工业公司职工大学,4222050236,吉林省,
82,通化市职工大学,4222050242,吉林省,
83,通化钢铁公司职工大学,4222050243,吉林省,
